Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
2024-07-18 12:19:20,Truck_10,20.2969,124.1885,298,In Transit,18.6,74.4,Detour,41,248,1,None,86.3,283,0
2024-12-16 11:48:34,Truck_6,-27.7387,19.6189,331,Delayed,21.4,62.9,Detour,46,235,8,Mechanical Failure,62.6,298,1
2024-04-15 22:37:19,Truck_2,-31.1328,175.8453,180,Delivered,27.2,52.9,Clear,29,390,8,Mechanical Failure,68.4,110,0
2024-04-05 10:29:17,Truck_10,24.8353,-83.7173,282,In Transit,19.4,71.9,Clear,43,464,10,Traffic,90.0,107,0
2024-12-20 12:26:19,Truck_4,-32.7240,82.9577,363,Delayed,27.0,70.9,Detour,52,482,6,Weather,62.9,248,1
2024-07-02 03:07:27,Truck_3,72.1220,89.9728,212,Delivered,25.9,68.0,Heavy,32,312,6,Mechanical Failure,87.6,296,1
2024-01-28 04:43:23,Truck_1,-7.6360,51.0615,317,In Transit,23.9,69.5,Clear,59,447,1,Weather,97.1,294,0
2024-01-14 20:39:14,Truck_2,-24.0118,111.4726,240,Delivered,18.8,63.9,Detour,23,462,1,None,61.2,276,0
2024-08-06 11:35:04,Truck_10,77.0042,-12.2919,427,Delayed,20.3,57.3,Heavy,18,341,3,Weather,85.7,189,1
2024-12-08 01:10:23,Truck_10,-38.6867,-19.9939,144,Delayed,18.2,53.1,Clear,16,106,5,Weather,69.4,214,1
2024-02-27 01:51:59,Truck_8,41.3750,77.2949,280,In Transit,25.5,74.2,Clear,46,447,2,Traffic,65.3,236,0
2024-02-14 21:28:31,Truck_2,-68.4651,179.4433,182,Delayed,20.3,59.8,Detour,30,288,7,None,83.3,107,1
2024-03-21 11:48:25,Truck_3,-13.0063,0.5345,439,Delayed,21.5,72.8,Heavy,30,101,10,Mechanical Failure,90.4,114,1
2024-10-16 22:56:13,Truck_2,41.3066,161.1462,174,Delayed,27.2,77.9,Heavy,39,173,5,Mechanical Failure,91.1,262,1
2024-02-21 23:20:41,Truck_6,-23.1011,-54.5176,186,Delayed,24.0,67.3,Detour,44,352,9,None,85.7,262,1
2024-09-24 22:17:10,Truck_10,-17.6088,-41.4304,109,Delivered,26.9,75.3,Detour,26,314,7,None,93.3,176,0
2024-03-30 10:22:10,Truck_4,-72.4492,131.8524,483,In Transit,21.9,71.9,Detour,59,226,10,Mechanical Failure,69.2,152,0
2024-12-15 07:37:03,Truck_2,27.3601,-105.0457,100,Delayed,27.5,68.6,Clear,49,464,3,None,61.7,149,1
2024-03-26 22:29:16,Truck_1,-86.5291,-36.5789,128,Delivered,28.9,63.7,Clear,56,140,1,Weather,72.8,127,0
2024-05-09 18:49:33,Truck_10,10.2078,36.8570,100,In Transit,21.9,72.1,Detour,22,413,1,Weather,67.5,145,0
2024-11-19 09:57:01,Truck_6,-42.6759,-7.9818,468,Delayed,28.6,65.1,Heavy,45,419,8,None,76.1,119,1
2024-11-26 17:09:09,Truck_8,36.2494,143.1951,243,In Transit,27.7,74.8,Detour,28,311,9,None,97.5,272,0
2024-04-20 09:54:18,Truck_2,28.9964,151.6114,134,Delayed,29.2,55.5,Detour,34,189,1,Weather,87.8,270,1
2024-06-05 19:19:16,Truck_3,-22.1005,-38.8449,484,Delivered,29.1,54.7,Detour,48,320,7,Weather,84.6,118,0
2024-07-08 04:26:39,Truck_6,47.2803,32.1356,300,Delivered,22.4,54.3,Heavy,23,323,5,Weather,65.5,230,1
2024-04-01 03:56:41,Truck_10,-25.4692,-70.7603,396,Delivered,21.9,67.4,Detour,24,238,3,Weather,60.4,117,0
2024-02-11 04:52:58,Truck_4,20.1451,158.7402,135,Delivered,26.8,79.1,Detour,57,173,7,Mechanical Failure,81.3,115,0
2024-08-23 00:05:52,Truck_8,-29.2726,149.6329,236,Delivered,21.9,51.9,Detour,21,233,6,Mechanical Failure,72.0,115,0
2024-11-04 00:29:20,Truck_1,-82.3942,179.9237,294,Delivered,27.6,79.7,Heavy,24,181,5,Weather,88.2,191,1
2024-05-04 19:24:30,Truck_4,37.3932,53.4470,209,Delayed,29.4,57.8,Detour,34,319,4,Mechanical Failure,85.0,208,1
2024-11-13 04:19:12,Truck_4,-3.4094,-85.8774,378,Delayed,28.2,70.2,Clear,60,490,9,Traffic,66.8,166,1
2024-02-13 19:17:18,Truck_1,-60.2782,-7.5464,355,Delayed,22.5,74.0,Clear,20,321,3,Weather,90.6,252,1
2024-06-28 07:17:35,Truck_9,-1.8123,-156.2070,474,Delayed,29.2,66.1,Heavy,26,318,5,Weather,96.2,110,1
2024-12-15 22:06:59,Truck_6,45.5530,20.9015,218,Delivered,19.5,67.9,Detour,27,257,10,Mechanical Failure,62.2,150,0
2024-06-30 14:22:40,Truck_2,-28.3820,-47.8231,357,In Transit,29.3,73.2,Clear,22,229,7,Mechanical Failure,94.3,131,0
2024-12-05 16:36:07,Truck_5,-71.0852,-12.9187,255,Delayed,27.4,59.6,Clear,20,497,3,Traffic,98.4,277,1
2024-06-13 13:04:28,Truck_2,-35.6424,-106.7595,415,Delayed,22.2,65.8,Heavy,18,287,2,Traffic,61.1,256,1
2024-03-17 08:20:11,Truck_9,-81.6220,-152.0754,353,Delivered,29.5,76.8,Heavy,41,421,8,None,97.7,212,1
2024-09-21 03:09:39,Truck_8,-22.9111,-154.3594,260,In Transit,23.8,58.4,Clear,49,266,7,Mechanical Failure,77.8,131,0
2024-02-20 20:52:03,Truck_4,-68.7937,-164.3866,447,Delivered,21.1,75.6,Heavy,51,315,1,Mechanical Failure,64.7,186,1
2024-11-19 18:03:38,Truck_5,-25.5794,132.2662,483,Delayed,26.6,50.0,Clear,51,466,6,Mechanical Failure,87.9,272,1
2024-11-07 16:16:40,Truck_10,49.0465,41.3428,363,Delivered,28.6,75.2,Heavy,19,358,1,Weather,77.4,272,1
2024-02-18 14:10:22,Truck_8,-81.6677,-40.8327,313,Delayed,20.5,79.3,Detour,49,229,7,None,98.5,126,1
2024-03-03 00:53:07,Truck_10,-69.6887,-34.4563,289,Delivered,19.3,68.6,Clear,33,149,4,None,74.3,220,0
2024-06-02 09:09:21,Truck_4,-49.1811,-94.1515,171,Delivered,21.3,66.1,Clear,57,125,8,None,98.9,249,0
2024-01-25 12:09:42,Truck_6,12.8172,76.1408,401,In Transit,25.7,71.4,Clear,30,494,4,Weather,81.1,175,0
2024-10-04 16:19:17,Truck_9,20.1146,19.7583,376,Delivered,25.1,54.1,Clear,55,305,5,Mechanical Failure,83.2,158,0
2024-11-02 12:07:34,Truck_3,84.1317,-144.7840,371,Delayed,26.2,58.5,Heavy,46,168,10,Traffic,69.5,162,1
2024-04-22 01:56:59,Truck_4,-53.9329,30.3236,496,In Transit,23.4,71.6,Clear,15,451,3,Weather,76.3,235,0
2024-04-15 22:28:46,Truck_2,31.8571,-83.1698,149,In Transit,20.9,68.1,Detour,39,274,9,Traffic,71.8,138,0
2024-01-19 14:28:30,Truck_6,67.7302,-70.1861,166,In Transit,29.4,59.5,Heavy,40,210,4,Traffic,82.9,246,1
2024-09-22 12:19:08,Truck_9,73.3723,93.2464,369,Delayed,28.0,52.3,Detour,35,481,5,Mechanical Failure,73.4,179,1
2024-11-01 23:47:02,Truck_5,68.2361,-85.9216,409,In Transit,22.0,68.1,Clear,18,423,10,Weather,62.8,282,0
2024-05-13 14:10:55,Truck_8,40.5478,147.0261,494,Delayed,19.2,58.4,Clear,52,231,10,Weather,89.5,201,1
2024-02-17 07:36:46,Truck_6,-36.4299,58.0595,238,Delayed,23.8,79.4,Detour,33,416,5,Weather,88.2,102,1
2024-11-23 19:33:59,Truck_8,83.2003,-119.0412,422,In Transit,19.2,54.5,Clear,18,437,3,None,73.5,103,0
2024-09-23 10:32:15,Truck_9,74.5816,-19.6986,132,In Transit,28.2,57.2,Clear,23,401,6,None,93.6,154,0
2024-08-25 22:32:25,Truck_1,-64.7094,137.7910,189,Delayed,25.2,70.0,Clear,10,360,6,Mechanical Failure,81.9,191,1
2024-09-27 06:23:53,Truck_1,-59.6020,62.7120,255,Delivered,28.5,72.2,Clear,60,419,2,Traffic,68.4,246,0
2024-05-09 04:02:20,Truck_7,-68.3712,-65.9802,107,Delayed,21.9,74.1,Heavy,51,413,1,Weather,84.9,257,1
2024-05-27 10:59:49,Truck_6,3.8431,91.0078,274,Delayed,19.3,51.4,Heavy,57,279,10,None,75.3,127,1
